"date","institut","land","party","poll_share"
2017-10-13,"Civey","by","cdu",40.7
2017-10-13,"Civey","by","spd",14.1
2017-10-13,"Civey","by","fdp",11.3
2017-10-13,"Civey","by","gru",12.4
2017-10-13,"Civey","by","lin",7
2017-10-13,"Civey","by","afd",7.1
2017-10-13,"Civey","by","fw",3.4
2017-10-13,"Civey","by","bsw",NA
2017-11-16,"Civey","by","cdu",38.1
2017-11-16,"Civey","by","spd",16.1
2017-11-16,"Civey","by","fdp",8.3
2017-11-16,"Civey","by","gru",10.7
2017-11-16,"Civey","by","lin",3.8
2017-11-16,"Civey","by","afd",12.6
2017-11-16,"Civey","by","fw",7
2017-11-16,"Civey","by","bsw",NA
2017-11-30,"Civey","by","cdu",36.5
2017-11-30,"Civey","by","spd",16
2017-11-30,"Civey","by","fdp",7.1
2017-11-30,"Civey","by","gru",12.1
2017-11-30,"Civey","by","lin",3.5
2017-11-30,"Civey","by","afd",11.8
2017-11-30,"Civey","by","fw",9.5
2017-11-30,"Civey","by","bsw",NA
2017-12-13,"Civey","by","cdu",36.7
2017-12-13,"Civey","by","spd",16
2017-12-13,"Civey","by","fdp",7.1
2017-12-13,"Civey","by","gru",12.1
2017-12-13,"Civey","by","lin",2.9
2017-12-13,"Civey","by","afd",12.9
2017-12-13,"Civey","by","fw",8.3
2017-12-13,"Civey","by","bsw",NA
2018-01-16,"Civey","by","cdu",39.7
2018-01-16,"Civey","by","spd",15.2
2018-01-16,"Civey","by","fdp",5.8
2018-01-16,"Civey","by","gru",11.9
2018-01-16,"Civey","by","lin",3.2
2018-01-16,"Civey","by","afd",11.8
2018-01-16,"Civey","by","fw",7.3
2018-01-16,"Civey","by","bsw",NA
2018-02-26,"Civey","by","cdu",40.5
2018-02-26,"Civey","by","spd",13.9
2018-02-26,"Civey","by","fdp",5.7
2018-02-26,"Civey","by","gru",12.7
2018-02-26,"Civey","by","lin",3.2
2018-02-26,"Civey","by","afd",11.4
2018-02-26,"Civey","by","fw",7.5
2018-02-26,"Civey","by","bsw",NA
2018-03-16,"Civey","by","cdu",41.4
2018-03-16,"Civey","by","spd",14.2
2018-03-16,"Civey","by","fdp",4.6
2018-03-16,"Civey","by","gru",12
2018-03-16,"Civey","by","lin",3
2018-03-16,"Civey","by","afd",12.1
2018-03-16,"Civey","by","fw",8.4
2018-03-16,"Civey","by","bsw",NA
2018-04-06,"Civey","by","cdu",44
2018-04-06,"Civey","by","spd",14.9
2018-04-06,"Civey","by","fdp",4.8
2018-04-06,"Civey","by","gru",11.2
2018-04-06,"Civey","by","lin",2.9
2018-04-06,"Civey","by","afd",11.9
2018-04-06,"Civey","by","fw",6.3
2018-04-06,"Civey","by","bsw",NA
2018-05-13,"Civey","by","cdu",42.3
2018-05-13,"Civey","by","spd",13.3
2018-05-13,"Civey","by","fdp",5.3
2018-05-13,"Civey","by","gru",13
2018-05-13,"Civey","by","lin",2.9
2018-05-13,"Civey","by","afd",12
2018-05-13,"Civey","by","fw",6.6
2018-05-13,"Civey","by","bsw",NA
2018-06-08,"Civey","by","cdu",41.4
2018-06-08,"Civey","by","spd",13.4
2018-06-08,"Civey","by","fdp",4.8
2018-06-08,"Civey","by","gru",12.6
2018-06-08,"Civey","by","lin",3.5
2018-06-08,"Civey","by","afd",13.5
2018-06-08,"Civey","by","fw",7
2018-06-08,"Civey","by","bsw",NA
2018-07-06,"Civey","by","cdu",41.4
2018-07-06,"Civey","by","spd",13.3
2018-07-06,"Civey","by","fdp",5.1
2018-07-06,"Civey","by","gru",13.3
2018-07-06,"Civey","by","lin",2.9
2018-07-06,"Civey","by","afd",13.4
2018-07-06,"Civey","by","fw",6.5
2018-07-06,"Civey","by","bsw",NA
2018-08-14,"Civey","by","cdu",37.9
2018-08-14,"Civey","by","spd",12.1
2018-08-14,"Civey","by","fdp",5.4
2018-08-14,"Civey","by","gru",15.5
2018-08-14,"Civey","by","lin",3.2
2018-08-14,"Civey","by","afd",13.9
2018-08-14,"Civey","by","fw",7.7
2018-08-14,"Civey","by","bsw",NA
2018-08-27,"Civey","by","cdu",37.6
2018-08-27,"Civey","by","spd",11.9
2018-08-27,"Civey","by","fdp",5.8
2018-08-27,"Civey","by","gru",15.7
2018-08-27,"Civey","by","lin",3
2018-08-27,"Civey","by","afd",13.3
2018-08-27,"Civey","by","fw",8.1
2018-08-27,"Civey","by","bsw",NA
2018-09-10,"Civey","by","cdu",35.9
2018-09-10,"Civey","by","spd",12.4
2018-09-10,"Civey","by","fdp",5.9
2018-09-10,"Civey","by","gru",16
2018-09-10,"Civey","by","lin",2.8
2018-09-10,"Civey","by","afd",13.8
2018-09-10,"Civey","by","fw",8.1
2018-09-10,"Civey","by","bsw",NA
2018-09-24,"Civey","by","cdu",35.5
2018-09-24,"Civey","by","spd",12.1
2018-09-24,"Civey","by","fdp",5.2
2018-09-24,"Civey","by","gru",17.4
2018-09-24,"Civey","by","lin",4
2018-09-24,"Civey","by","afd",12
2018-09-24,"Civey","by","fw",9.4
2018-09-24,"Civey","by","bsw",NA
2018-10-11,"Civey","by","cdu",32.9
2018-10-11,"Civey","by","spd",11
2018-10-11,"Civey","by","fdp",5.9
2018-10-11,"Civey","by","gru",18.5
2018-10-11,"Civey","by","lin",3.9
2018-10-11,"Civey","by","afd",10
2018-10-11,"Civey","by","fw",10
2018-10-11,"Civey","by","bsw",NA
2019-03-30,"Civey","by","cdu",38.1
2019-03-30,"Civey","by","spd",9.5
2019-03-30,"Civey","by","fdp",5.4
2019-03-30,"Civey","by","gru",20.3
2019-03-30,"Civey","by","lin",3.2
2019-03-30,"Civey","by","afd",8.3
2019-03-30,"Civey","by","fw",10.1
2019-03-30,"Civey","by","bsw",NA
2019-04-27,"Civey","by","cdu",36.4
2019-04-27,"Civey","by","spd",10.3
2019-04-27,"Civey","by","fdp",5.8
2019-04-27,"Civey","by","gru",20.8
2019-04-27,"Civey","by","lin",3.3
2019-04-27,"Civey","by","afd",8.3
2019-04-27,"Civey","by","fw",9.7
2019-04-27,"Civey","by","bsw",NA
2020-04-06,"Civey","by","cdu",44.1
2020-04-06,"Civey","by","spd",9.3
2020-04-06,"Civey","by","fdp",3.1
2020-04-06,"Civey","by","gru",19.6
2020-04-06,"Civey","by","lin",3.2
2020-04-06,"Civey","by","afd",8.6
2020-04-06,"Civey","by","fw",8.1
2020-04-06,"Civey","by","bsw",NA
2021-12-15,"InstitutWahlkreisprognose ","by","cdu",33.5
2021-12-15,"InstitutWahlkreisprognose ","by","spd",16.5
2021-12-15,"InstitutWahlkreisprognose ","by","fdp",8
2021-12-15,"InstitutWahlkreisprognose ","by","gru",16.5
2021-12-15,"InstitutWahlkreisprognose ","by","lin",2
2021-12-15,"InstitutWahlkreisprognose ","by","afd",8
2021-12-15,"InstitutWahlkreisprognose ","by","fw",11
2021-12-15,"InstitutWahlkreisprognose ","by","bsw",NA
2022-02-23,"InstitutWahlkreisprognose ","by","cdu",36
2022-02-23,"InstitutWahlkreisprognose ","by","spd",16
2022-02-23,"InstitutWahlkreisprognose ","by","fdp",7
2022-02-23,"InstitutWahlkreisprognose ","by","gru",15
2022-02-23,"InstitutWahlkreisprognose ","by","lin",2
2022-02-23,"InstitutWahlkreisprognose ","by","afd",9
2022-02-23,"InstitutWahlkreisprognose ","by","fw",8
2022-02-23,"InstitutWahlkreisprognose ","by","bsw",NA
2022-05-03,"InstitutWahlkreisprognose ","by","cdu",39.2
2022-05-03,"InstitutWahlkreisprognose ","by","spd",14.7
2022-05-03,"InstitutWahlkreisprognose ","by","fdp",7
2022-05-03,"InstitutWahlkreisprognose ","by","gru",15.4
2022-05-03,"InstitutWahlkreisprognose ","by","lin",2.4
2022-05-03,"InstitutWahlkreisprognose ","by","afd",7.8
2022-05-03,"InstitutWahlkreisprognose ","by","fw",7.4
2022-05-03,"InstitutWahlkreisprognose ","by","bsw",NA
2022-06-30,"InstitutWahlkreisprognose ","by","cdu",39.7
2022-06-30,"InstitutWahlkreisprognose ","by","spd",10.8
2022-06-30,"InstitutWahlkreisprognose ","by","fdp",5.6
2022-06-30,"InstitutWahlkreisprognose ","by","gru",19.1
2022-06-30,"InstitutWahlkreisprognose ","by","lin",1.4
2022-06-30,"InstitutWahlkreisprognose ","by","afd",7.4
2022-06-30,"InstitutWahlkreisprognose ","by","fw",9.6
2022-06-30,"InstitutWahlkreisprognose ","by","bsw",NA
2022-07-16,"Civey","by","cdu",38.5
2022-07-16,"Civey","by","spd",10
2022-07-16,"Civey","by","fdp",5.3
2022-07-16,"Civey","by","gru",20.9
2022-07-16,"Civey","by","lin",1.7
2022-07-16,"Civey","by","afd",7.7
2022-07-16,"Civey","by","fw",10
2022-07-16,"Civey","by","bsw",NA
2022-08-04,"InstitutWahlkreisprognose ","by","cdu",40.2
2022-08-04,"InstitutWahlkreisprognose ","by","spd",10.5
2022-08-04,"InstitutWahlkreisprognose ","by","fdp",5
2022-08-04,"InstitutWahlkreisprognose ","by","gru",22
2022-08-04,"InstitutWahlkreisprognose ","by","lin",1.3
2022-08-04,"InstitutWahlkreisprognose ","by","afd",6.5
2022-08-04,"InstitutWahlkreisprognose ","by","fw",9.6
2022-08-04,"InstitutWahlkreisprognose ","by","bsw",NA
2022-09-13,"InstitutWahlkreisprognose ","by","cdu",42
2022-09-13,"InstitutWahlkreisprognose ","by","spd",6
2022-09-13,"InstitutWahlkreisprognose ","by","fdp",8
2022-09-13,"InstitutWahlkreisprognose ","by","gru",21
2022-09-13,"InstitutWahlkreisprognose ","by","lin",2
2022-09-13,"InstitutWahlkreisprognose ","by","afd",8
2022-09-13,"InstitutWahlkreisprognose ","by","fw",8
2022-09-13,"InstitutWahlkreisprognose ","by","bsw",NA
2022-11-04,"InstitutWahlkreisprognose ","by","cdu",40.6
2022-11-04,"InstitutWahlkreisprognose ","by","spd",8.3
2022-11-04,"InstitutWahlkreisprognose ","by","fdp",4.6
2022-11-04,"InstitutWahlkreisprognose ","by","gru",18.7
2022-11-04,"InstitutWahlkreisprognose ","by","lin",1.6
2022-11-04,"InstitutWahlkreisprognose ","by","afd",10.6
2022-11-04,"InstitutWahlkreisprognose ","by","fw",10.6
2022-11-04,"InstitutWahlkreisprognose ","by","bsw",NA
2022-11-21,"Civey","by","cdu",41.3
2022-11-21,"Civey","by","spd",8.8
2022-11-21,"Civey","by","fdp",3.8
2022-11-21,"Civey","by","gru",17.6
2022-11-21,"Civey","by","lin",1.7
2022-11-21,"Civey","by","afd",10.3
2022-11-21,"Civey","by","fw",10.5
2022-11-21,"Civey","by","bsw",NA
2022-12-05,"InstitutWahlkreisprognose ","by","cdu",42.3
2022-12-05,"InstitutWahlkreisprognose ","by","spd",8
2022-12-05,"InstitutWahlkreisprognose ","by","fdp",3.7
2022-12-05,"InstitutWahlkreisprognose ","by","gru",17.3
2022-12-05,"InstitutWahlkreisprognose ","by","lin",1.3
2022-12-05,"InstitutWahlkreisprognose ","by","afd",11.3
2022-12-05,"InstitutWahlkreisprognose ","by","fw",11
2022-12-05,"InstitutWahlkreisprognose ","by","bsw",NA
2023-01-14,"Civey","by","cdu",40.3
2023-01-14,"Civey","by","spd",9.3
2023-01-14,"Civey","by","fdp",4.3
2023-01-14,"Civey","by","gru",18
2023-01-14,"Civey","by","lin",2.4
2023-01-14,"Civey","by","afd",10.5
2023-01-14,"Civey","by","fw",9.7
2023-01-14,"Civey","by","bsw",NA
2023-01-17,"InstitutWahlkreisprognose ","by","cdu",41
2023-01-17,"InstitutWahlkreisprognose ","by","spd",8.9
2023-01-17,"InstitutWahlkreisprognose ","by","fdp",4.2
2023-01-17,"InstitutWahlkreisprognose ","by","gru",17.8
2023-01-17,"InstitutWahlkreisprognose ","by","lin",2
2023-01-17,"InstitutWahlkreisprognose ","by","afd",9.8
2023-01-17,"InstitutWahlkreisprognose ","by","fw",10.6
2023-01-17,"InstitutWahlkreisprognose ","by","bsw",NA
2023-02-18,"Civey","by","cdu",39
2023-02-18,"Civey","by","spd",9
2023-02-18,"Civey","by","fdp",4
2023-02-18,"Civey","by","gru",18
2023-02-18,"Civey","by","lin",2
2023-02-18,"Civey","by","afd",10
2023-02-18,"Civey","by","fw",12
2023-02-18,"Civey","by","bsw",NA
2023-02-19,"InstitutWahlkreisprognose ","by","cdu",41.4
2023-02-19,"InstitutWahlkreisprognose ","by","spd",8.3
2023-02-19,"InstitutWahlkreisprognose ","by","fdp",3.7
2023-02-19,"InstitutWahlkreisprognose ","by","gru",17.2
2023-02-19,"InstitutWahlkreisprognose ","by","lin",1.6
2023-02-19,"InstitutWahlkreisprognose ","by","afd",9.7
2023-02-19,"InstitutWahlkreisprognose ","by","fw",11.4
2023-02-19,"InstitutWahlkreisprognose ","by","bsw",NA
2023-04-06,"InstitutWahlkreisprognose ","by","cdu",42.1
2023-04-06,"InstitutWahlkreisprognose ","by","spd",8.7
2023-04-06,"InstitutWahlkreisprognose ","by","fdp",5
2023-04-06,"InstitutWahlkreisprognose ","by","gru",16.2
2023-04-06,"InstitutWahlkreisprognose ","by","lin",1.5
2023-04-06,"InstitutWahlkreisprognose ","by","afd",10.2
2023-04-06,"InstitutWahlkreisprognose ","by","fw",10.6
2023-04-06,"InstitutWahlkreisprognose ","by","bsw",NA
2023-05-24,"InstitutWahlkreisprognose ","by","cdu",40.2
2023-05-24,"InstitutWahlkreisprognose ","by","spd",10.4
2023-05-24,"InstitutWahlkreisprognose ","by","fdp",5.2
2023-05-24,"InstitutWahlkreisprognose ","by","gru",13.9
2023-05-24,"InstitutWahlkreisprognose ","by","lin",1.5
2023-05-24,"InstitutWahlkreisprognose ","by","afd",12
2023-05-24,"InstitutWahlkreisprognose ","by","fw",12
2023-05-24,"InstitutWahlkreisprognose ","by","bsw",NA
2023-06-17,"Civey","by","cdu",40.4
2023-06-17,"Civey","by","spd",10.6
2023-06-17,"Civey","by","fdp",4
2023-06-17,"Civey","by","gru",15.2
2023-06-17,"Civey","by","lin",2
2023-06-17,"Civey","by","afd",10.8
2023-06-17,"Civey","by","fw",11
2023-06-17,"Civey","by","bsw",NA
2023-07-04,"InstitutWahlkreisprognose ","by","cdu",40
2023-07-04,"InstitutWahlkreisprognose ","by","spd",9
2023-07-04,"InstitutWahlkreisprognose ","by","fdp",4
2023-07-04,"InstitutWahlkreisprognose ","by","gru",15
2023-07-04,"InstitutWahlkreisprognose ","by","lin",2
2023-07-04,"InstitutWahlkreisprognose ","by","afd",13
2023-07-04,"InstitutWahlkreisprognose ","by","fw",12
2023-07-04,"InstitutWahlkreisprognose ","by","bsw",NA
2023-07-15,"Civey","by","cdu",38.8
2023-07-15,"Civey","by","spd",10.3
2023-07-15,"Civey","by","fdp",3.6
2023-07-15,"Civey","by","gru",15.7
2023-07-15,"Civey","by","lin",1.9
2023-07-15,"Civey","by","afd",13
2023-07-15,"Civey","by","fw",11.6
2023-07-15,"Civey","by","bsw",NA
2023-07-31,"InstitutWahlkreisprognose ","by","cdu",38.9
2023-07-31,"InstitutWahlkreisprognose ","by","spd",10.7
2023-07-31,"InstitutWahlkreisprognose ","by","fdp",3.7
2023-07-31,"InstitutWahlkreisprognose ","by","gru",14.7
2023-07-31,"InstitutWahlkreisprognose ","by","lin",2
2023-07-31,"InstitutWahlkreisprognose ","by","afd",14.5
2023-07-31,"InstitutWahlkreisprognose ","by","fw",11
2023-07-31,"InstitutWahlkreisprognose ","by","bsw",NA
2023-08-10,"Civey","by","cdu",39.1
2023-08-10,"Civey","by","spd",10
2023-08-10,"Civey","by","fdp",3.9
2023-08-10,"Civey","by","gru",14.6
2023-08-10,"Civey","by","lin",2.3
2023-08-10,"Civey","by","afd",13.8
2023-08-10,"Civey","by","fw",11.6
2023-08-10,"Civey","by","bsw",NA
2023-08-20,"InstitutWahlkreisprognose ","by","cdu",38.1
2023-08-20,"InstitutWahlkreisprognose ","by","spd",10.4
2023-08-20,"InstitutWahlkreisprognose ","by","fdp",3.6
2023-08-20,"InstitutWahlkreisprognose ","by","gru",13.9
2023-08-20,"InstitutWahlkreisprognose ","by","lin",1.8
2023-08-20,"InstitutWahlkreisprognose ","by","afd",15.2
2023-08-20,"InstitutWahlkreisprognose ","by","fw",12.4
2023-08-20,"InstitutWahlkreisprognose ","by","bsw",NA
2023-08-24,"Civey","by","cdu",37.8
2023-08-24,"Civey","by","spd",10.2
2023-08-24,"Civey","by","fdp",3.6
2023-08-24,"Civey","by","gru",13.9
2023-08-24,"Civey","by","lin",1.8
2023-08-24,"Civey","by","afd",15
2023-08-24,"Civey","by","fw",12.5
2023-08-24,"Civey","by","bsw",NA
2023-09-04,"InstitutWahlkreisprognose ","by","cdu",40.5
2023-09-04,"InstitutWahlkreisprognose ","by","spd",10
2023-09-04,"InstitutWahlkreisprognose ","by","fdp",4
2023-09-04,"InstitutWahlkreisprognose ","by","gru",13.4
2023-09-04,"InstitutWahlkreisprognose ","by","lin",1.4
2023-09-04,"InstitutWahlkreisprognose ","by","afd",14.3
2023-09-04,"InstitutWahlkreisprognose ","by","fw",11.7
2023-09-04,"InstitutWahlkreisprognose ","by","bsw",NA
2023-09-07,"Civey","by","cdu",36
2023-09-07,"Civey","by","spd",10
2023-09-07,"Civey","by","fdp",4
2023-09-07,"Civey","by","gru",15
2023-09-07,"Civey","by","lin",1
2023-09-07,"Civey","by","afd",17
2023-09-07,"Civey","by","fw",12
2023-09-07,"Civey","by","bsw",NA
2023-09-07,"InstitutWahlkreisprognose ","by","cdu",41
2023-09-07,"InstitutWahlkreisprognose ","by","spd",6.5
2023-09-07,"InstitutWahlkreisprognose ","by","fdp",3.5
2023-09-07,"InstitutWahlkreisprognose ","by","gru",13.5
2023-09-07,"InstitutWahlkreisprognose ","by","lin",1
2023-09-07,"InstitutWahlkreisprognose ","by","afd",15
2023-09-07,"InstitutWahlkreisprognose ","by","fw",15.5
2023-09-07,"InstitutWahlkreisprognose ","by","bsw",NA
2023-09-20,"InstitutWahlkreisprognose ","by","cdu",36.4
2023-09-20,"InstitutWahlkreisprognose ","by","spd",9
2023-09-20,"InstitutWahlkreisprognose ","by","fdp",3.4
2023-09-20,"InstitutWahlkreisprognose ","by","gru",14.8
2023-09-20,"InstitutWahlkreisprognose ","by","lin",1.2
2023-09-20,"InstitutWahlkreisprognose ","by","afd",13.8
2023-09-20,"InstitutWahlkreisprognose ","by","fw",16.1
2023-09-20,"InstitutWahlkreisprognose ","by","bsw",NA
2023-09-21,"Civey","by","cdu",36.8
2023-09-21,"Civey","by","spd",8.9
2023-09-21,"Civey","by","fdp",3.4
2023-09-21,"Civey","by","gru",14.6
2023-09-21,"Civey","by","lin",1.4
2023-09-21,"Civey","by","afd",13.3
2023-09-21,"Civey","by","fw",16.1
2023-09-21,"Civey","by","bsw",NA
2023-10-02,"Civey","by","cdu",36.4
2023-10-02,"Civey","by","spd",8.9
2023-10-02,"Civey","by","fdp",3.7
2023-10-02,"Civey","by","gru",15.1
2023-10-02,"Civey","by","lin",1
2023-10-02,"Civey","by","afd",13.9
2023-10-02,"Civey","by","fw",15.9
2023-10-02,"Civey","by","bsw",NA
2023-10-04,"InstitutWahlkreisprognose ","by","cdu",37
2023-10-04,"InstitutWahlkreisprognose ","by","spd",9
2023-10-04,"InstitutWahlkreisprognose ","by","fdp",4
2023-10-04,"InstitutWahlkreisprognose ","by","gru",15
2023-10-04,"InstitutWahlkreisprognose ","by","lin",2
2023-10-04,"InstitutWahlkreisprognose ","by","afd",14
2023-10-04,"InstitutWahlkreisprognose ","by","fw",15
2023-10-04,"InstitutWahlkreisprognose ","by","bsw",NA
2023-10-06,"InstitutWahlkreisprognose ","by","cdu",36.7
2023-10-06,"InstitutWahlkreisprognose ","by","spd",8.8
2023-10-06,"InstitutWahlkreisprognose ","by","fdp",3.5
2023-10-06,"InstitutWahlkreisprognose ","by","gru",15.2
2023-10-06,"InstitutWahlkreisprognose ","by","lin",1.2
2023-10-06,"InstitutWahlkreisprognose ","by","afd",14
2023-10-06,"InstitutWahlkreisprognose ","by","fw",15.3
2023-10-06,"InstitutWahlkreisprognose ","by","bsw",NA
2023-11-18,"Civey","by","cdu",40
2023-11-18,"Civey","by","spd",9
2023-11-18,"Civey","by","fdp",3
2023-11-18,"Civey","by","gru",14
2023-11-18,"Civey","by","lin",2
2023-11-18,"Civey","by","afd",13
2023-11-18,"Civey","by","fw",13
2023-11-18,"Civey","by","bsw",NA
2021-03-04,"InstitutWahlkreisprognose","bw","cdu",23
2021-03-04,"InstitutWahlkreisprognose","bw","spd",12.5
2021-03-04,"InstitutWahlkreisprognose","bw","fdp",10.5
2021-03-04,"InstitutWahlkreisprognose","bw","gru",33
2021-03-04,"InstitutWahlkreisprognose","bw","lin",3.5
2021-03-04,"InstitutWahlkreisprognose","bw","afd",13
2021-03-04,"InstitutWahlkreisprognose","bw","fw",NA
2021-03-10,"Civey","bw","cdu",24
2021-03-10,"Civey","bw","spd",13
2021-03-10,"Civey","bw","fdp",10
2021-03-10,"Civey","bw","gru",32
2021-03-10,"Civey","bw","lin",4
2021-03-10,"Civey","bw","afd",12
2021-03-10,"Civey","bw","fw",NA
2021-12-30,"InstitutWahlkreisprognose","bw","cdu",19
2021-12-30,"InstitutWahlkreisprognose","bw","spd",20
2021-12-30,"InstitutWahlkreisprognose","bw","fdp",19
2021-12-30,"InstitutWahlkreisprognose","bw","gru",26
2021-12-30,"InstitutWahlkreisprognose","bw","lin",3
2021-12-30,"InstitutWahlkreisprognose","bw","afd",8.5
2021-12-30,"InstitutWahlkreisprognose","bw","fw",NA
2022-03-17,"InstitutWahlkreisprognose","bw","cdu",24.6
2022-03-17,"InstitutWahlkreisprognose","bw","spd",16.8
2022-03-17,"InstitutWahlkreisprognose","bw","fdp",13.6
2022-03-17,"InstitutWahlkreisprognose","bw","gru",27
2022-03-17,"InstitutWahlkreisprognose","bw","lin",2.4
2022-03-17,"InstitutWahlkreisprognose","bw","afd",9
2022-03-17,"InstitutWahlkreisprognose","bw","fw",NA
2022-05-07,"InstitutWahlkreisprognose","bw","cdu",22.2
2022-05-07,"InstitutWahlkreisprognose","bw","spd",17.1
2022-05-07,"InstitutWahlkreisprognose","bw","fdp",13.1
2022-05-07,"InstitutWahlkreisprognose","bw","gru",27.7
2022-05-07,"InstitutWahlkreisprognose","bw","lin",3
2022-05-07,"InstitutWahlkreisprognose","bw","afd",9.7
2022-05-07,"InstitutWahlkreisprognose","bw","fw",NA
2022-06-10,"InstitutWahlkreisprognose","bw","cdu",20.5
2022-06-10,"InstitutWahlkreisprognose","bw","spd",14
2022-06-10,"InstitutWahlkreisprognose","bw","fdp",13
2022-06-10,"InstitutWahlkreisprognose","bw","gru",30.5
2022-06-10,"InstitutWahlkreisprognose","bw","lin",4
2022-06-10,"InstitutWahlkreisprognose","bw","afd",11
2022-06-10,"InstitutWahlkreisprognose","bw","fw",NA
2022-08-16,"InstitutWahlkreisprognose","bw","cdu",24
2022-08-16,"InstitutWahlkreisprognose","bw","spd",13
2022-08-16,"InstitutWahlkreisprognose","bw","fdp",10
2022-08-16,"InstitutWahlkreisprognose","bw","gru",30.5
2022-08-16,"InstitutWahlkreisprognose","bw","lin",2.5
2022-08-16,"InstitutWahlkreisprognose","bw","afd",12
2022-08-16,"InstitutWahlkreisprognose","bw","fw",NA
2022-10-23,"InstitutWahlkreisprognose","bw","cdu",22
2022-10-23,"InstitutWahlkreisprognose","bw","spd",15
2022-10-23,"InstitutWahlkreisprognose","bw","fdp",8
2022-10-23,"InstitutWahlkreisprognose","bw","gru",27.5
2022-10-23,"InstitutWahlkreisprognose","bw","lin",3
2022-10-23,"InstitutWahlkreisprognose","bw","afd",16
2022-10-23,"InstitutWahlkreisprognose","bw","fw",NA
2022-12-22,"InstitutWahlkreisprognose","bw","cdu",23
2022-12-22,"InstitutWahlkreisprognose","bw","spd",15
2022-12-22,"InstitutWahlkreisprognose","bw","fdp",9
2022-12-22,"InstitutWahlkreisprognose","bw","gru",28
2022-12-22,"InstitutWahlkreisprognose","bw","lin",2
2022-12-22,"InstitutWahlkreisprognose","bw","afd",15
2022-12-22,"InstitutWahlkreisprognose","bw","fw",2.5
2023-03-13,"InstitutWahlkreisprognose","bw","cdu",32
2023-03-13,"InstitutWahlkreisprognose","bw","spd",10
2023-03-13,"InstitutWahlkreisprognose","bw","fdp",6.5
2023-03-13,"InstitutWahlkreisprognose","bw","gru",28
2023-03-13,"InstitutWahlkreisprognose","bw","lin",2
2023-03-13,"InstitutWahlkreisprognose","bw","afd",13
2023-03-13,"InstitutWahlkreisprognose","bw","fw",3
2023-07-24,"InstitutWahlkreisprognose","bw","cdu",24.9
2023-07-24,"InstitutWahlkreisprognose","bw","spd",11.9
2023-07-24,"InstitutWahlkreisprognose","bw","fdp",7
2023-07-24,"InstitutWahlkreisprognose","bw","gru",24.8
2023-07-24,"InstitutWahlkreisprognose","bw","lin",2
2023-07-24,"InstitutWahlkreisprognose","bw","afd",20.1
2023-07-24,"InstitutWahlkreisprognose","bw","fw",2.9
2023-10-27,"InstitutWahlkreisprognose","bw","cdu",30
2023-10-27,"InstitutWahlkreisprognose","bw","spd",10
2023-10-27,"InstitutWahlkreisprognose","bw","fdp",7
2023-10-27,"InstitutWahlkreisprognose","bw","gru",20
2023-10-27,"InstitutWahlkreisprognose","bw","lin",1.5
2023-10-27,"InstitutWahlkreisprognose","bw","afd",22
2023-10-27,"InstitutWahlkreisprognose","bw","fw",3
2016-09-12,"Civey","be","cdu",17.4
2016-09-12,"Civey","be","spd",21.4
2016-09-12,"Civey","be","fdp",5.9
2016-09-12,"Civey","be","gru",18.8
2016-09-12,"Civey","be","lin",16
2016-09-12,"Civey","be","pir",NA
2016-09-12,"Civey","be","afd",13
2016-09-12,"Civey","be","fw",NA
2017-04-10,"Civey","be","cdu",19.8
2017-04-10,"Civey","be","spd",24.9
2017-04-10,"Civey","be","fdp",7.4
2017-04-10,"Civey","be","gru",13.4
2017-04-10,"Civey","be","lin",16.1
2017-04-10,"Civey","be","pir",NA
2017-04-10,"Civey","be","afd",9.2
2017-04-10,"Civey","be","fw",NA
2017-05-19,"Civey","be","cdu",20.3
2017-05-19,"Civey","be","spd",27.1
2017-05-19,"Civey","be","fdp",7.1
2017-05-19,"Civey","be","gru",11.4
2017-05-19,"Civey","be","lin",16.1
2017-05-19,"Civey","be","pir",NA
2017-05-19,"Civey","be","afd",8.5
2017-05-19,"Civey","be","fw",NA
2017-06-17,"Civey","be","cdu",22.6
2017-06-17,"Civey","be","spd",21.4
2017-06-17,"Civey","be","fdp",7.2
2017-06-17,"Civey","be","gru",10.2
2017-06-17,"Civey","be","lin",17.2
2017-06-17,"Civey","be","pir",NA
2017-06-17,"Civey","be","afd",8.9
2017-06-17,"Civey","be","fw",NA
2017-07-26,"Civey","be","cdu",24.5
2017-07-26,"Civey","be","spd",20.5
2017-07-26,"Civey","be","fdp",8.7
2017-07-26,"Civey","be","gru",10.9
2017-07-26,"Civey","be","lin",17.7
2017-07-26,"Civey","be","pir",NA
2017-07-26,"Civey","be","afd",7.7
2017-07-26,"Civey","be","fw",NA
2017-10-10,"Civey","be","cdu",20.7
2017-10-10,"Civey","be","spd",18.3
2017-10-10,"Civey","be","fdp",8.7
2017-10-10,"Civey","be","gru",14.6
2017-10-10,"Civey","be","lin",19.1
2017-10-10,"Civey","be","pir",NA
2017-10-10,"Civey","be","afd",9.8
2017-10-10,"Civey","be","fw",NA
2017-11-27,"Civey","be","cdu",21.2
2017-11-27,"Civey","be","spd",17.4
2017-11-27,"Civey","be","fdp",8.5
2017-11-27,"Civey","be","gru",15.6
2017-11-27,"Civey","be","lin",18.2
2017-11-27,"Civey","be","pir",NA
2017-11-27,"Civey","be","afd",10.8
2017-11-27,"Civey","be","fw",NA
2017-12-08,"Civey","be","cdu",21.6
2017-12-08,"Civey","be","spd",17.2
